日付	名称	曜日
1955-01-01	元日	土
1955-01-15	成人の日	土
1955-03-21	春分の日	月
1955-04-29	天皇誕生日	金
1955-05-03	憲法記念日	火
1955-05-05	こどもの日	木
1955-09-24	秋分の日	土
1955-11-03	文化の日	木
1955-11-23	勤労感謝の日	水
1956-01-01	元日	日
1956-01-15	成人の日	日
1956-03-21	春分の日	水
1956-04-29	天皇誕生日	日
1956-05-03	憲法記念日	木
1956-05-05	こどもの日	土
1956-09-23	秋分の日	日
1956-11-03	文化の日	土
1956-11-23	勤労感謝の日	金
1957-01-01	元日	火
1957-01-15	成人の日	火
1957-03-21	春分の日	木
1957-04-29	天皇誕生日	月
1957-05-03	憲法記念日	金
1957-05-05	こどもの日	日
1957-09-23	秋分の日	月
1957-11-03	文化の日	日
1957-11-23	勤労感謝の日	土
1958-01-01	元日	水
1958-01-15	成人の日	水
1958-03-21	春分の日	金
1958-04-29	天皇誕生日	火
1958-05-03	憲法記念日	土
1958-05-05	こどもの日	月
1958-09-23	秋分の日	火
1958-11-03	文化の日	月
1958-11-23	勤労感謝の日	日
1959-01-01	元日	木
1959-01-15	成人の日	木
1959-03-21	春分の日	土
1959-04-10	結婚の儀	金
1959-04-29	天皇誕生日	水
1959-05-03	憲法記念日	日
1959-05-05	こどもの日	火
1959-09-24	秋分の日	木
1959-11-03	文化の日	火
1959-11-23	勤労感謝の日	月
1960-01-01	元日	金
1960-01-15	成人の日	金
1960-03-20	春分の日	日
1960-04-29	天皇誕生日	金
1960-05-03	憲法記念日	火
1960-05-05	こどもの日	木
1960-09-23	秋分の日	金
1960-11-03	文化の日	木
1960-11-23	勤労感謝の日	水
1961-01-01	元日	日
1961-01-15	成人の日	日
1961-03-21	春分の日	火
1961-04-29	天皇誕生日	土
1961-05-03	憲法記念日	水
1961-05-05	こどもの日	金
1961-09-23	秋分の日	土
1961-11-03	文化の日	金
1961-11-23	勤労感謝の日	木
1962-01-01	元日	月
1962-01-15	成人の日	月
1962-03-21	春分の日	水
1962-04-29	天皇誕生日	日
1962-05-03	憲法記念日	木
1962-05-05	こどもの日	土
1962-09-23	秋分の日	日
1962-11-03	文化の日	土
1962-11-23	勤労感謝の日	金
1963-01-01	元日	火
1963-01-15	成人の日	火
1963-03-21	春分の日	木
1963-04-29	天皇誕生日	月
1963-05-03	憲法記念日	金
1963-05-05	こどもの日	日
1963-09-24	秋分の日	火
1963-11-03	文化の日	日
1963-11-23	勤労感謝の日	土
1964-01-01	元日	水
1964-01-15	成人の日	水
1964-03-20	春分の日	金
1964-04-29	天皇誕生日	水
1964-05-03	憲法記念日	日
1964-05-05	こどもの日	火
1964-09-23	秋分の日	水
1964-11-03	文化の日	火
1964-11-23	勤労感謝の日	月
1965-01-01	元日	金
1965-01-15	成人の日	金
1965-03-21	春分の日	日
1965-04-29	天皇誕生日	木
1965-05-03	憲法記念日	月
1965-05-05	こどもの日	水
1965-09-23	秋分の日	木
1965-11-03	文化の日	水
1965-11-23	勤労感謝の日	火
1966-01-01	元日	土
1966-01-15	成人の日	土
1966-03-21	春分の日	月
1966-04-29	天皇誕生日	金
1966-05-03	憲法記念日	火
1966-05-05	こどもの日	木
1966-09-15	敬老の日	木
1966-09-23	秋分の日	金
1966-10-10	体育の日	月
1966-11-03	文化の日	木
1966-11-23	勤労感謝の日	水
1967-01-01	元日	日
1967-01-15	成人の日	日
1967-02-11	建国記念の日	土
1967-03-21	春分の日	火
1967-04-29	天皇誕生日	土
1967-05-03	憲法記念日	水
1967-05-05	こどもの日	金
1967-09-15	敬老の日	金
1967-09-24	秋分の日	日
